Date,Total credit,Credit per day
2015-11-21,15526928067797,31202100758
2015-11-22,15557285951145,30357883348
2015-11-23,15589415763039,32129811894
2015-11-24,15622094891058,32679128020
2015-11-25,15653859929804,31765038746
2015-11-26,15687783368481,33923438676
2015-11-27,15719839771369,32056402889
2015-11-28,15751588682950,31748911581
2015-11-29,15783257358911,31668675961
2015-11-30,15813539053006,30281694095
2015-12-01,15843755680266,30216627260
2015-12-02,15875240961646,31485281380
2015-12-03,15905785814970,30544853323
2015-12-04,15940483804618,34697989648
2015-12-05,15972022590329,31538785712
2015-12-06,16007486561665,35463971336
2015-12-07,16050648509048,43161947383
2015-12-08,16090414963046,39766453998
2015-12-09,16124154428634,33739465588
2015-12-10,16159619470705,35465042071
2015-12-11,16195066003491,35446532786
2015-12-12,16231976430530,36910427040
2015-12-13,16268575093100,36598662570
2015-12-14,16303723183640,35148090540
2015-12-15,16339983020441,36259836801
2015-12-16,16375361823540,35378803100
2015-12-17,16411061365240,35699541700
2015-12-18,16447600910174,36539544934
2015-12-19,16480213526122,32612615948
2015-12-20,16513753377182,33539851061
2015-12-21,16548585790822,34832413640
2015-12-22,16583415869001,34830078179
2015-12-23,16619571916581,36156047580
2015-12-24,16656293228746,36721312165
2015-12-25,16689515725354,33222496608
2015-12-26,16722810774031,33295048677
2015-12-27,16755794542719,32983768687
2016-01-25,17765423270708,
2016-01-26,17797456934668,32033663960
2016-02-06,18132442153806,
2016-02-07,18165632362797,33190208991
2016-02-08,18197643486006,32011123209
2016-02-09,18230537350720,32893864713
2016-02-10,18263342918367,32805567647
2016-02-11,18297411730563,34068812197
2016-02-12,18332866136678,35454406114
2016-02-13,18367558723914,34692587236
2016-02-14,18402300733571,34742009657
2016-02-15,18438175514011,35874780441
2016-02-16,18472823673784,34648159773
2016-02-17,18506914488238,34090814454
2016-02-18,18541369338901,34454850662
2016-02-19,18576138107691,34768768791
2016-02-20,18612747417939,36609310247
2016-02-21,18649468323009,36720905071
2016-02-22,18685088491564,35620168555
2016-02-23,18721953802026,36865310462
2016-02-23,18721953802026,36865310462
2016-02-24,18756808513450,34854711423
2016-02-24,18756808513450,34854711423
2016-02-25,18791039688515,34231175065
2016-02-25,18791039688515,34231175065
2016-02-26,18825850940373,34811251858
2016-02-26,18825850940373,34811251858
2016-02-27,18861303172755,35452232383
2016-02-27,18861303172755,35452232383
2016-02-28,18896964007900,35660835145
2016-02-28,18896964007900,35660835145
2016-02-29,18930376668160,33412660260
2016-02-29,18930376668160,33412660260
2016-03-01,18964176212267,33799544107
2016-03-01,18964176212267,33799544107
2016-03-02,18998034043626,33857831359
2016-03-02,18998034043626,33857831359
2016-03-03,19031951948507,33917904881
2016-03-03,19031951948507,33917904881
2016-03-04,19067294318902,35342370395
2016-03-04,19067294318902,35342370395
2016-03-05,19101949252910,34654934008
2016-03-05,19101949252910,34654934008
2016-03-06,19135856570606,33907317695
2016-03-06,19135856570606,33907317695
2016-03-07,19170062731285,34206160679
2016-03-07,19170062731285,34206160679
2016-03-08,19205714400356,35651669072
2016-03-08,19205714400356,35651669072
2016-03-09,19238127969659,32413569303
2016-03-09,19238127969659,32413569303
2016-03-10,19271912842465,33784872806
2016-03-10,19271912842465,33784872806
2016-03-11,19303640987006,31728144541
2016-03-11,19303640987006,31728144541
2016-03-12,19335146452430,31505465424
2016-03-12,19335146452430,31505465424
2016-03-13,19369126243814,33979791385
2016-03-13,19369126243814,33979791385
2016-03-14,19400826594854,31700351039
2016-03-14,19400826594854,31700351039
2016-03-15,19431633607749,30807012896
2016-03-15,19431633607749,30807012896
2016-03-16,19463284649387,31651041637
2016-03-16,19463284649387,31651041637
